"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2024","2463.30","2422.80","2467.90","2420.20","178.51K","1.27%"
"08/09/2024","2473.40","2467.30","2476.50","2456.10","152.17K","0.41%"
"08/12/2024","2504.00","2470.10","2513.40","2462.70","171.20K","1.24%"
"08/13/2024","2507.80","2512.60","2517.30","2498.20","155.08K","0.15%"
"08/14/2024","2479.70","2506.30","2519.70","2476.20","187.38K","-1.12%"
"08/15/2024","2492.40","2486.20","2508.00","2469.20","169.32K","0.51%"
"08/16/2024","2537.80","2494.40","2548.30","2488.20","223.93K","1.82%"
"08/19/2024","2541.30","2549.70","2549.90","2523.70","155.99K","0.14%"
"08/20/2024","2550.60","2542.40","2570.40","2535.10","191.20K","0.37%"
"08/21/2024","2547.50","2552.20","2558.00","2528.20","148.89K","-0.12%"
"08/22/2024","2516.70","2549.90","2551.40","2506.40","177.37K","-1.21%"
"08/23/2024","2546.30","2521.10","2554.50","2519.80","164.61K","1.18%"
"08/26/2024","2555.20","2545.10","2563.20","2544.00","127.49K","0.35%"
"08/27/2024","2552.90","2553.80","2561.40","2538.50","146.22K","-0.09%"
"08/28/2024","2537.80","2559.80","2564.30","2527.80","165.12K","-0.59%"
"08/29/2024","2560.30","2539.20","2562.20","2536.50","159.97K","0.89%"
"08/30/2024","2527.60","2553.60","2560.10","2526.60","175.64K","-1.28%"
"09/03/2024","2523.00","2536.00","2539.50","2504.40","273.54K","-0.18%"
"09/04/2024","2526.00","2524.60","2531.50","2502.70","167.96K","0.12%"
"09/05/2024","2543.10","2526.40","2554.00","2523.70","152.71K","0.68%"
"09/06/2024","2524.60","2547.10","2559.80","2513.90","228.12K","-0.73%"
"09/09/2024","2532.70","2526.50","2536.50","2514.20","140.58K","0.32%"
"09/10/2024","2543.10","2536.00","2547.50","2528.90","156.11K","0.41%"
"09/11/2024","2542.40","2545.70","2558.00","2529.00","194.09K","-0.03%"
"09/12/2024","2580.60","2540.60","2588.50","2538.70","233.68K","1.50%"
"09/13/2024","2610.70","2587.50","2614.60","2585.00","174.67K","1.17%"
"09/16/2024","2608.90","2608.00","2617.40","2602.50","127.58K","-0.07%"
"09/17/2024","2592.40","2609.80","2613.70","2587.30","159.53K","-0.63%"
"09/18/2024","2598.60","2596.00","2627.20","2572.50","233.13K","0.24%"
"09/19/2024","2614.60","2585.10","2620.50","2575.30","204.48K","0.62%"
"09/20/2024","2646.20","2611.20","2651.00","2608.70","207.21K","1.21%"
"09/23/2024","2652.50","2646.20","2659.80","2638.60","170.49K","0.24%"
"09/24/2024","2677.00","2653.30","2689.40","2647.10","216.55K","0.92%"
"09/25/2024","2684.70","2682.80","2694.90","2673.40","189.94K","0.29%"
"09/26/2024","2694.90","2681.20","2708.70","2677.50","217.64K","0.38%"
"09/27/2024","2689.90","2716.50","2718.50","2687.60","6.19K","-0.19%"
"09/30/2024","2681.30","2702.00","2709.00","2668.80","5.80K","-0.32%"
"10/01/2024","2712.50","2677.70","2716.70","2677.00","8.06K","1.16%"
"10/02/2024","2692.00","2706.20","2706.60","2684.70","3.11K","-0.76%"
"10/03/2024","2701.60","2703.40","2705.00","2680.20","3.96K","0.36%"
"10/04/2024","2690.70","2698.60","2713.10","2675.20","16.42K","-0.40%"
"10/07/2024","2689.10","2692.90","2702.20","2680.50","7.02K","-0.06%"
"10/08/2024","2658.20","2685.30","2695.20","2646.40","14.01K","-1.15%"
"10/09/2024","2648.80","2663.60","2665.20","2646.70","7.35K","-0.35%"
"10/10/2024","2662.60","2648.60","2672.00","2642.50","25.89K","0.52%"
"10/11/2024","2699.70","2670.50","2701.90","2669.00","8.09K","1.39%"
"10/14/2024","2689.00","2696.10","2706.90","2684.30","2.15K","-0.40%"
"10/15/2024","2702.40","2688.90","2708.90","2678.20","5.51K","0.50%"
"10/16/2024","2714.90","2702.90","2726.00","2698.80","7.16K","0.46%"
"10/17/2024","2731.40","2714.00","2736.20","2712.60","11.91K","0.61%"
"10/18/2024","2754.30","2731.40","2761.90","2731.40","13.14K","0.84%"
"10/21/2024","2763.40","2760.20","2779.40","2754.00","9.56K","0.33%"
"10/22/2024","2784.40","2759.30","2788.00","2758.00","8.78K","0.76%"
"10/23/2024","2753.80","2787.60","2796.10","2746.40","11.66K","-1.10%"
"10/24/2024","2773.30","2753.50","2780.10","2753.40","14.22K","0.71%"
"10/25/2024","2779.10","2773.10","2785.40","2754.00","5.50K","0.21%"
"10/28/2024","2780.50","2775.50","2782.80","2761.90","6.93K","0.05%"
"10/29/2024","2805.80","2778.30","2812.40","2777.30","19.41K","0.91%"
"10/30/2024","2825.70","2811.60","2826.30","2807.40","16.16K","0.71%"
"10/31/2024","2774.00","2823.80","2826.00","2766.60","22.13K","-1.83%"
"11/01/2024","2773.90","2778.60","2797.00","2767.70","18.54K","0.00%"
"11/04/2024","2770.90","2768.40","2782.00","2764.90","14.11K","-0.11%"
"11/05/2024","2774.60","2770.30","2784.20","2758.20","20.42K","0.13%"
"11/06/2024","2700.40","2776.40","2782.80","2684.90","40.56K","-2.67%"
"11/07/2024","2730.60","2691.70","2742.10","2674.80","81.67K","1.12%"
"11/08/2024","2719.50","2737.40","2741.60","2712.00","73.37K","-0.41%"
"11/11/2024","2641.70","2716.00","2717.20","2641.10","75.01K","-2.86%"
"11/12/2024","2630.30","2650.20","2656.90","2619.90","68.56K","-0.43%"
"11/13/2024","2610.30","2628.60","2648.80","2601.90","69.50K","-0.76%"
"11/14/2024","2596.40","2602.00","2609.00","2565.00","38.52K","-0.53%"
"11/15/2024","2593.60","2594.00","2604.00","2583.70","35.41K","-0.11%"
"11/18/2024","2638.20","2595.00","2643.00","2592.00","48.33K","1.72%"
"11/19/2024","2654.60","2639.80","2667.00","2638.10","49.42K","0.62%"
"11/20/2024","2663.60","2648.80","2670.80","2634.40","0.73K","0.34%"
"11/21/2024","2687.10","2663.90","2688.40","2663.90","0.54K","0.88%"
"11/22/2024","2724.90","2683.60","2728.30","2683.60","0.82K","1.41%"
"11/25/2024","2630.60","2728.00","2735.50","2629.50","2.57K","-3.46%"
"11/26/2024","2634.40","2638.70","2655.50","2618.50","2.72K","0.14%"
"11/27/2024","2664.80","2658.30","2683.40","2652.20","169.46K","1.15%"
"11/29/2024","2681.00","2660.60","2690.50","2644.10","180.76K","0.61%"
